id,begin_date,end_date,label,gare_source,duration
ba9cb3b2-11c9-4aa4-b92c-96a385e15170,2024-07-09 21:13:00,2024-07-09 22:16:48,panne train,Cergy le Haut,0 days 01:03:48
f0e1b265-2e6e-499c-b1ed-b0d9b05f2db9,2024-07-09 15:16:54,2024-07-09 15:30:15,incident exploitation,Marne-la-Vallée-Chessy,0 days 00:13:21
a6d71d7c-156d-4a54-8217-4e42d6d280b8,2024-07-09 15:05:31,2024-07-09 15:06:58,voyageur,Bry-sur-Marne,0 days 00:01:27
f4113dd8-cb8d-44c1-8aa0-2c570f8b0525,2024-07-09 12:26:44,2024-07-09 13:25:09,bagage oublie,Val d'Europe,0 days 00:58:25
0ff07d1f-6c24-4e5b-b0f7-96aaccb5f183,2024-07-09 03:21:19,2024-07-09 03:54:17,panne train,Poissy,0 days 00:32:58
29cc3616-5bbd-44d7-9fd0-02d62a8980a8,2024-07-08 15:09:23,2024-07-08 19:37:39,intervention personnel,Neuilly-Plaisance,0 days 04:28:16
61d11395-35eb-4c67-a65a-11c8b8861303,2024-07-08 12:53:12,2024-07-08 12:54:37,incident technique,Nanterre Université,0 days 00:01:25
e6d86f5b-e639-4a6d-aa17-55468e0edce4,2024-07-08 11:48:00,2024-07-08 11:48:57,intervention personnel,Torcy,0 days 00:00:57
8b99c85b-fbd2-4527-a6bd-b0f3cadb7471,2024-07-07 20:54:24,2024-07-07 21:26:41,panne train,Nanterre Préfecture,0 days 00:32:17
3345f02c-d467-4a0f-a461-ad783f4c2e14,2024-07-07 17:41:23,2024-07-07 18:56:32,panne train,Poissy,0 days 01:15:09
8b04b60f-0ea3-4cdf-a2cc-62000a549e63,2024-07-06 10:08:12,2024-07-06 10:31:29,intervention personnel,Bussy-Saint-Georges,0 days 00:23:17
cc39ea82-7a88-4cb9-860e-2b2385c596c6,2024-07-06 08:05:22,2024-07-06 08:10:58,intervention personnel,Bussy-Saint-Georges,0 days 00:05:36
ad265225-e5d2-470d-ba37-768a0c440c8e,2024-07-06 03:20:16,2024-07-06 03:32:41,voyageur,Torcy,0 days 00:12:25
7849a35c-9d01-4cb0-843b-01a2070ee84b,2024-07-05 18:45:53,2024-07-05 18:49:18,signal alarme,Charles de Gaulle-Etoile,0 days 00:03:25
45c8805d-c82a-439f-a627-f9618fafe30f,2024-07-05 13:20:56,2024-07-05 13:23:08,signal alarme,Auber,0 days 00:02:12
44c51e85-81a1-42ca-b9bd-26989897113a,2024-07-05 12:13:27,2024-07-05 12:22:21,voies,Neuilly-Plaisance,0 days 00:08:54
e281b8f5-61e5-4d38-bbab-ad2adac9a635,2024-07-05 08:49:05,2024-07-05 09:21:11,intervention personnel,Gare de Lyon,0 days 00:32:06
8f0e09f9-44f6-4c5a-b0ba-33a97ab8b2f1,2024-07-05 04:46:35,2024-07-05 04:50:54,porte,Fontenay-sous-Bois,0 days 00:04:19
